1,2024-12-02 21:26:35.760943,0.pcapng,2,2024-12-03 04:26:23.439937+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:26:23.439937+00:00,0.1574249267578125,66.22.227.122,64.738
2,2024-12-02 21:26:48.304451,1.pcapng,2,2024-12-03 04:26:35.939136+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:26:35.939136+00:00,0.16373109817504883,66.22.226.110,65.227
3,2024-12-02 21:27:00.752598,2.pcapng,2,2024-12-03 04:26:49.114188+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:26:49.114188+00:00,0.17461490631103516,66.22.226.116,65.388
4,2024-12-02 21:27:13.158902,3.pcapng,2,2024-12-03 04:27:00.922973+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:27:00.922973+00:00,0.1977078914642334,66.22.226.58,63.015
5,2024-12-02 21:27:25.622684,4.pcapng,2,2024-12-03 04:27:13.324131+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:27:13.324131+00:00,0.14357209205627441,66.22.226.61,62.671
6,2024-12-02 21:27:38.006638,5.pcapng,1,2024-12-03 04:27:25.778110+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:27:25.778110+00:00,5.0,66.22.226.61,64.678
7,2024-12-02 21:27:50.540842,6.pcapng,1,2024-12-03 04:27:38.167596+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:27:38.167596+00:00,0.14830613136291504,66.22.226.106,63.34
8,2024-12-02 21:28:03.197376,7.pcapng,2,2024-12-03 04:27:50.712061+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:27:50.712061+00:00,0.11016201972961426,66.22.227.121,64.426
9,2024-12-02 21:28:15.624715,8.pcapng,2,2024-12-03 04:28:03.898798+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:28:03.898798+00:00,0.15233302116394043,66.22.227.22,63.231
10,2024-12-02 21:28:28.162382,9.pcapng,2,2024-12-03 04:28:15.790728+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:28:15.790728+00:00,0.13901996612548828,66.22.226.103,65.428
11,2024-12-02 21:28:40.616221,10.pcapng,2,2024-12-03 04:28:28.317545+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:28:28.317545+00:00,0.11423778533935547,66.22.226.72,63.676
12,2024-12-02 21:28:53.147672,11.pcapng,17,2024-12-03 04:28:40.760029+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:28:40.760029+00:00,0.04181694984436035,66.22.226.72,63.154
13,2024-12-02 21:29:05.518199,12.pcapng,1,2024-12-03 04:28:53.321364+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:28:53.321364+00:00,0.1049950122833252,66.22.226.127,65.789
14,2024-12-02 21:29:18.118683,13.pcapng,2,2024-12-03 04:29:05.677006+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:29:05.677006+00:00,0.12255001068115234,66.22.226.108,66.426
15,2024-12-02 21:29:30.589665,14.pcapng,2,2024-12-03 04:29:18.288873+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:29:18.288873+00:00,0.11773109436035156,66.22.227.20,65.51
16,2024-12-02 21:29:43.003391,15.pcapng,2,2024-12-03 04:29:31.180631+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:29:31.180631+00:00,0.1398930549621582,66.22.227.105,66.044
17,2024-12-02 21:29:55.455884,16.pcapng,1,2024-12-03 04:29:43.167782+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:29:43.167782+00:00,5.0,66.22.227.105,84.718
18,2024-12-02 21:30:07.969632,17.pcapng,1,2024-12-03 04:29:55.617016+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:29:55.617016+00:00,0.12880396842956543,66.22.226.115,67.097
19,2024-12-02 21:30:20.572979,18.pcapng,2,2024-12-03 04:30:08.132744+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:30:08.132744+00:00,0.11383295059204102,66.22.227.23,66.84
20,2024-12-02 21:30:32.982296,19.pcapng,1,2024-12-03 04:30:20.750969+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:30:20.750969+00:00,5.0,66.22.227.23,64.974
21,2024-12-02 21:30:45.813380,20.pcapng,1,2024-12-03 04:30:33.306574+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:30:33.306574+00:00,0.12897896766662598,66.22.227.120,66.049
22,2024-12-02 21:30:58.273618,21.pcapng,2,2024-12-03 04:30:45.981159+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:30:45.981159+00:00,0.1345198154449463,66.22.227.17,64.78
23,2024-12-02 21:31:10.722612,22.pcapng,2,2024-12-03 04:30:58.455042+00:00,1970-01-01 00:00:00+00:00,2024-12-03 04:30:58.455042+00:00,0.2064661979675293,66.22.226.89,67.215
