1,2024-12-02 14:04:03.267376,0.pcapng,1,2024-12-02 21:03:51.374548+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:03:51.374548+00:00,0.27376890182495117,66.22.226.31
2,2024-12-02 14:04:15.476205,1.pcapng,2,2024-12-02 21:04:03.454080+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:04:03.454080+00:00,0.14960098266601562,66.22.227.88
3,2024-12-02 14:04:27.928057,2.pcapng,2,2024-12-02 21:04:15.684092+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:04:15.684092+00:00,0.15871214866638184,66.22.226.66
4,2024-12-02 14:04:40.369362,3.pcapng,2,2024-12-02 21:04:28.092203+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:04:28.092203+00:00,0.13227581977844238,66.22.227.24
5,2024-12-02 14:04:52.691709,4.pcapng,2,2024-12-02 21:04:40.558221+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:04:40.558221+00:00,0.16675186157226562,66.22.226.128
6,2024-12-02 14:05:04.869076,5.pcapng,1,2024-12-02 21:04:52.902566+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:04:52.902566+00:00,5.0,66.22.226.128
7,2024-12-02 14:05:17.208382,6.pcapng,1,2024-12-02 21:05:05.073138+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:05:05.073138+00:00,0.1367950439453125,66.22.226.49
8,2024-12-02 14:05:29.388815,7.pcapng,2,2024-12-02 21:05:17.411354+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:05:17.411354+00:00,0.20352983474731445,66.22.226.101
9,2024-12-02 14:05:41.707594,8.pcapng,2,2024-12-02 21:05:29.560961+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:05:29.560961+00:00,0.13399505615234375,66.22.226.9
10,2024-12-02 14:05:53.903464,9.pcapng,2,2024-12-02 21:05:41.999481+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:05:41.999481+00:00,0.17852306365966797,66.22.226.34
11,2024-12-02 14:06:06.282384,10.pcapng,2,2024-12-02 21:05:54.119442+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:05:54.119442+00:00,0.14853692054748535,66.22.227.23
12,2024-12-02 14:06:18.465107,11.pcapng,2,2024-12-02 21:06:06.484158+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:06:06.484158+00:00,0.13108205795288086,66.22.227.112
13,2024-12-02 14:06:30.813209,12.pcapng,1,2024-12-02 21:06:18.657075+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:06:18.657075+00:00,5.0,66.22.227.112
14,2024-12-02 14:06:43.045220,13.pcapng,1,2024-12-02 21:06:30.997025+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:06:30.997025+00:00,0.16434097290039062,66.22.226.38
15,2024-12-02 14:06:55.200893,14.pcapng,2,2024-12-02 21:06:43.262586+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:06:43.262586+00:00,0.1507580280303955,66.22.226.29
16,2024-12-02 14:07:07.459907,15.pcapng,2,2024-12-02 21:06:55.386103+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:06:55.386103+00:00,0.12612295150756836,66.22.227.102
17,2024-12-02 14:07:19.918845,16.pcapng,2,2024-12-02 21:07:07.661750+00:00,1970-01-01 00:00:00+00:00,2024-12-02 21:07:07.661750+00:00,0.13920378684997559,66.22.226.42
